Country,Capital,Currency,Official language
Åland Islands,Mariehamn,Euro(EUR),Swedish
Albania,Tirana,Lek(ALL),Albanian
Andorra,Andorra la Vella,Euro(EUR),Catalan
Austria,Vienna,Euro(EUR),German
Belarus,Minsk,Belarusian ruble(BYR),"Belarusian, Russian"
Belgium,Brussels,Euro(EUR),"Dutch, French, German"
Bosnia and Herzegovina,Sarajevo,Convertible mark(BAM),"Bosnian, Croatian, Serbian"
Bulgaria,Sofia,Lev(BGN),Bulgarian
Croatia,Zagreb,Kuna(HRK),Croatian
Czech Republic,Prague,Czech koruna(CZK),Czech
Denmark,Copenhagen,Danish krone(DKK),Danish
Estonia,Tallinn,Euro(EUR),Estonian
Faroe Islands,Tórshavn,Faroese króna (DKK),"Faroese, Danish"
Finland,Helsinki,Euro(EUR),"Finnish, Swedish"
France,Paris,"Euro (EUR), CFP franc (XPF)",French
Germany,Berlin,Euro(EUR),German
Gibraltar,Gibraltar,Gibraltar pound (GIP),English
Greece,Athens,Euro(EUR),Greek
Guernsey,Saint Peter Port,Pound sterlingc (GBP),"English, French"
Hungary,Budapest,Forint(HUF),Hungarian
Iceland,Reykjavík,Icelandic króna(ISK),Icelandic
Ireland,Dublin,Euro (EUR),"English, Irish"
Isle of Man,Douglas,"Manx pound (official), Pound sterling(also used) (GBP)","English, Manx"
Italy,Rome,Euro(EUR),Italian
Jersey,Saint Helier,Pound sterlingd (GBP),"English, French"
Kosovo,Pristina,Euro (EUR),"Albanian, Serbian"
Latvia,Ryga,Euro(EUR),Latvian
Liechtenstein,Vaduz,Swiss franc(CHF),German
Lithuania,Vilnius,Euro(EUR),Lithuanian
Luxembourg,Luxembourg,Euro(EUR),"Luxembourgish, French, German"
Macedonia,Skopje,Macedonian denar(MKD),Macedonian
Malta,Valletta,Euro(EUR),"Maltese, English"
Moldova,Chişinău,Moldovan leu(MDL),Moldovan
Monaco,Monaco,Euro(EUR),French
Montenegro,Podgorica,Euro (EUR),Montenegrin
Netherlands,Amsterdam,Euro (EUR),Dutch
Norway,Oslo,Norwegian krone(NOK),"Norwegian, Bokmål, Nynorsk"
Poland,Warsaw,Złoty(PLN),Polish
Portugal,Lisbon,Euro (EUR),Portuguese
Romania,Bucharest,Romanian leu(RON),Romanian
San Marino,San Marino,Euro(EUR),Italian
Serbia,Belgrade,Serbian dinar(RSD),Serbian
Slovakia,Bratislava,Euro(EUR),Slovak
Slovenia,Ljubljana,Euro(EUR),Slovene
Spain,Madrid,Euro(EUR),"Spanish, Catalan, Galician, Basque"
Svalbard,Longyearbyen,Norwegian krone (NOK),Norwegian
Sweden,Stockholm,Swedish krona(SEK),Swedish
Switzerland,Bern,Swiss franc,"German, French, Italian, Romansh"
Transnistria,Tiraspol,Transnistrian rubled(PRB),"Russian, Moldovan, Ukrainian"
Ukraine,Kiev,Ukrainian hryvnia(UAH),Ukrainian
United Kingdom,London,Pound sterling (GBP),English
Vatican City,Vatican City,Euro(EUR),Italian
